Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,11.240000,12.130000,10.630000,11.870000,11.870000,477679200
2016-06-01,11.620000,12.450000,10.960000,11.570000,11.570000,518300900
2016-07-01,11.520000,11.780000,9.550000,9.760000,9.760000,490925300
2016-08-01,9.620000,11.380000,9.230000,10.360000,10.360000,741723400
2016-09-01,10.190000,11.030000,9.820000,10.930000,10.930000,983327100
2016-10-01,11.040000,11.790000,10.530000,10.530000,10.530000,975664700
2016-11-01,10.650000,11.100000,9.560000,10.930000,10.930000,959274800
2016-12-01,11.320000,11.940000,11.070000,11.720000,11.720000,664167900
2017-01-01,11.980000,12.000000,11.060000,11.320000,11.320000,426823000
2017-02-01,11.420000,11.650000,11.040000,11.450000,11.450000,385666300
2017-03-01,11.510000,11.550000,9.880000,10.640000,10.640000,601365500
2017-04-01,10.620000,11.260000,10.040000,10.240000,10.240000,477279800
2017-05-01,10.190000,10.700000,9.430000,9.960000,9.960000,699917400
2017-06-01,10.010000,10.160000,8.650000,9.500000,9.500000,763736500
2017-07-01,9.550000,10.320000,9.000000,10.280000,10.280000,624207500
2017-08-01,10.170000,10.250000,9.340000,9.630000,9.630000,530211800
2017-09-01,9.600000,10.650000,9.510000,10.430000,10.430000,374875300
2017-10-01,10.170000,10.960000,9.920000,10.930000,10.930000,335682100
2017-11-01,11.030000,11.790000,10.820000,11.470000,11.470000,352112500
2017-12-01,11.650000,12.090000,11.180000,12.010000,12.010000,251100000
2018-01-01,12.070000,13.300000,12.010000,12.980000,12.980000,387434900
2018-02-01,13.080000,13.260000,11.650000,12.370000,12.370000,448292000
2018-03-01,12.260000,13.300000,12.080000,13.090000,13.090000,427885300
2018-04-01,12.980000,14.000000,12.470000,13.800000,13.800000,373816900
2018-05-01,13.690000,14.740000,13.330000,13.550000,13.550000,448880700
2018-06-01,13.410000,15.080000,13.000000,15.060000,15.060000,455064700
2018-07-01,15.000000,15.250000,13.760000,14.280000,14.280000,475084800
2018-08-01,14.090000,14.830000,13.440000,14.710000,14.710000,420686300
2018-09-01,14.850000,15.570000,14.070000,15.520000,15.520000,307044600
2018-10-01,15.500000,16.240000,13.770000,13.790000,13.790000,556747400
2018-11-01,13.860000,13.860000,10.510000,10.730000,10.730000,847593300
2018-12-01,11.270000,11.480000,9.230000,9.660000,9.660000,684765100
2019-01-01,9.420000,11.630000,9.360000,11.350000,11.350000,634520100
2019-02-01,11.400000,12.060000,10.770000,11.950000,11.950000,372782800
2019-03-01,11.950000,12.560000,11.390000,12.500000,12.500000,437693400
2019-04-01,12.620000,13.860000,12.580000,13.290000,13.290000,423018800
2019-05-01,13.280000,13.310000,11.040000,11.100000,11.100000,607843300
2019-06-01,11.300000,12.430000,10.530000,12.040000,12.040000,613124200
2019-07-01,12.440000,12.630000,11.370000,12.040000,12.040000,567073100
2019-08-01,11.870000,11.930000,10.490000,11.460000,11.460000,709610200
2019-09-01,11.090000,13.160000,10.990000,11.340000,11.340000,655877700
2019-10-01,11.390000,11.880000,10.640000,11.300000,11.300000,525195200
2019-11-01,11.450000,12.250000,11.440000,11.620000,11.620000,461382100
2019-12-01,11.780000,13.020000,11.590000,12.810000,12.810000,286040000
2020-01-01,12.800000,13.320000,10.700000,10.840000,10.840000,498654300
2020-02-01,10.750000,11.430000,9.170000,9.450000,9.450000,605619900
2020-03-01,9.670000,10.180000,4.030000,4.210000,4.210000,2132764400
2020-04-01,4.240000,6.020000,2.310000,2.810000,2.810000,4392370700
2020-04-21,3.190000,3.399900,2.310000,2.800000,2.800000,1003255947
